sample_index,t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad
54,54.000000,5.677137023762e-01,-5.999770512644e-01,2.834193332182e+01,-2.995261433780e+01,4.123620120825e+01,5.470164125966e+00
55,55.000000,6.059036472399e-01,-6.403373427482e-01,3.024848739364e+01,-3.196751847926e+01,4.401014914000e+01,5.470164125966e+00
56,56.000000,6.376491869151e-01,-6.738869914627e-01,3.183331785479e+01,-3.364241535573e+01,4.631600410885e+01,5.470164125966e+00
57,57.000000,6.621686408575e-01,-6.997998937115e-01,3.305740091957e+01,-3.493606344743e+01,4.809698831278e+01,5.470164125966e+00
58,58.000000,6.788582587357e-01,-7.174379878414e-01,3.389059560043e+01,-3.581660884498e+01,4.930924800994e+01,5.470164125966e+00
59,59.000000,6.873070867680e-01,-7.263669654373e-01,3.431238587911e+01,-3.626236959832e+01,4.992293334333e+01,5.470164125966e+00
60,60.000000,6.873070867680e-01,-7.263669654373e-01,3.431238587911e+01,-3.626236959832e+01,4.992293334333e+01,5.470164125966e+00
61,61.000000,6.788582587357e-01,-7.174379878414e-01,3.389059560043e+01,-3.581660884498e+01,4.930924800994e+01,5.470164125966e+00
62,62.000000,6.621686408575e-01,-6.997998937115e-01,3.305740091957e+01,-3.493606344743e+01,4.809698831278e+01,5.470164125966e+00
63,63.000000,6.376491869151e-01,-6.738869914627e-01,3.183331785479e+01,-3.364241535573e+01,4.631600410885e+01,5.470164125966e+00
64,64.000000,6.059036472399e-01,-6.403373427482e-01,3.024848739364e+01,-3.196751847926e+01,4.401014914000e+01,5.470164125966e+00
65,65.000000,5.677137023762e-01,-5.999770512644e-01,2.834193332182e+01,-2.995261433780e+01,4.123620120825e+01,5.470164125966e+00
66,66.000000,5.240197155117e-01,-5.537999213357e-01,2.616060132808e+01,-2.764731655838e+01,3.806246411790e+01,5.470164125966e+00
67,67.000000,4.758975776151e-01,-5.029429871540e-01,2.375820304553e+01,-2.510838922319e+01,3.456708580913e+01,5.470164125966e+00
68,68.000000,4.245322154295e-01,-4.486585152235e-01,2.119389349298e+01,-2.239834914942e+01,3.083613409640e+01,5.470164125966e+00
